id,name,lat,lng
B0JKHU76AA,蔚来能源汽车充电站(南京绿博园),32.02649,118.71485
B0KKJPXZ1N,昆仑网电汽车充电站(中国石油南京侨馨大厦充电站),32.046406,118.7475
B0KAFKAEVA,蔚来能源超级充电站(南京绿博园),32.026466,118.714775
B0KRGOKQGL,湘江路路边充电桩,32.049422,118.736934
B0K62P9GA1,汽车充电站(鲸充建邺区莫愁湖公园站),32.036343,118.757576
B0FFHJJ94Y,南京易充充电站(侨熙人家地下停车场),32.047008,118.747533
B0K3AYVDTQ,南京易充汽车充电站(易充网鼓楼区长江之家路边站点),32.050163,118.73312
B0JK54ESRW,广汽能源汽车充电站(昊铂南京中海环宇城超充站),32.044445,118.752174
B0FFHQ078H,普斯迪尔汽车充电站(侨馨大厦店),32.047204,118.747553
B0FFK737WU,特来电汽车充电站(南京中海环宇城二期),32.044619,118.752714
B0JU9H64DC,奥迪汽车充电站(南京中海环宇城),32.044549,118.752792
B0K3Z6EL7X,南京易充汽车充电站(易充网鼓楼区长江之家东路边站点),32.050835,118.73307
B0KDCSTT6Q,开鑫充电汽车充电站(南京中海环宇城),32.045586,118.752808
B0JUMHATOM,南京易充汽车充电站(易充网鼓楼区胜棋里荷花街路边站点),32.03923,118.75766
B0JUHRUIR8,南京易充汽车充电站(易充网南京市鼓楼区闽江路69号路边站点),32.05159,118.733017
B0JDY6N9C7,南京易充汽车充电站(易充网建邺区南湖体育场集中式充电站),32.02869,118.760544
B0FFI6IABI,普斯迪尔汽车充电站(沅江街),32.051618,118.733041
B0K1DBAK3I,捷易电汽车充电站(凯旋城A区停车场),32.00972,118.735756
B0FFIL7JFR,特斯拉超级充电站(南京市红星美凯龙欧洲城),32.009617,118.736789
B0KG953BHY,星星充电汽车充电站(星星充电-江心洲水务中心),32.045439,118.715929
B0JUMH9YSH,南京易充汽车充电站(易充网鼓楼区水利设计院宿舍路边站点),32.040516,118.759476
B0GKR5DBBM,星星充电汽车充电站(国际永续中心地下停车场店),32.045425,118.715867
B0K6VSYXZK,南京能瑞汽车充电站(建邺小区),32.010532,118.74665
B0K6VSUJ6H,南京能瑞汽车充电站(黄河花园8组团),32.049824,118.75077
B0GDJR5HMY,南京能瑞电力汽车充电站(银城广场),32.054041,118.738806
B0FFLAXCRI,南京易充汽车充电站(易充网鼓楼区漫城名苑路边站点),32.043599,118.75931
B0KKG56JC9,汽车充电站(汉庭南京河西金鹰酒店),32.015324,118.755779
B0HK9U4JWR,星星充电汽车充电站(南京星星乐山路),32.011816,118.719338
B0J2J6BL7Q,南京易充汽车充电站(莫愁湖公园管理处地下停车场),32.031908,118.763765
B0J6KG2KFG,小桔充电汽车充电站(银城广场),32.055032,118.738996
B0JD0DR3BE,特来电汽车充电站(南京江苏大剧院充电站),32.014981,118.714658
B0FFI6CH64,普斯迪尔汽车充电站(金陵图书馆停车场店),32.013258,118.717076
B0FFI6CH64,普斯迪尔汽车充电站(金陵图书馆停车场店),32.013258,118.717076
B0JUMHAEDH,南京易充汽车充电站(易充网南京市鼓楼区中保街1号路边站点),32.056067,118.735683
B0JRKKL5MT,南京易充汽车充电站(鼓楼区金湾花园路边站点),32.055943,118.733025
B0KKBKFNQU,广州蔚星汽车充电站(江苏嘉鼎天下新能源-双创园充电站),32.008575,118.74824
B0KUY6LAMM,南京易充汽车充电站(易充网鼓楼区丽江街路边站点),32.055943,118.74046
B0KRBKNPR7,南京易充汽车充电站(易充网南京市建邺区新城大厦),32.00608,118.73149
B0K2APWOA3,中充服汽车充电站(四方能源仁恒国际充电服务站),32.006077,118.73359
B0KK2UI06X,蔚来能源汽车充电站(南京龙江银城广场),32.055885,118.73933
B0K6JKLZ16,光宇智充汽车充电站(光宇智充润花园充电站),32.020381,118.763183
B0K0J5AKOA,星星充电汽车充电站(吉山路灯杆006号站),32.011849,118.755273
B0HAKZIRT3,鲸充汽车充电站(润花园B区商业电站),32.020151,118.763397
B0K0J58FM0,星星充电汽车充电站(吉山路灯杆008号站),32.011578,118.75508
B0K0J54FGZ,星星充电汽车充电站(吉山路灯杆007号站),32.011367,118.754957
B0JROLY4PD,南京易充汽车充电站(易充网建邺区万科.金色家园路边站点),32.037373,118.76597
B0JUHRZ8GP,南京易充汽车充电站(易充网南京市建邺区万科金色3号门附近路边站点),32.034763,118.76667
B0K0J53CUX,星星充电汽车充电站(莫愁湖东路灯杆027号),32.036245,118.766227
B0K6VSY8HD,南京能瑞汽车充电站(平湖中建码头),32.01561,118.76077
B0K0J57772,星星充电汽车充电站(莫愁湖东路灯杆025号),32.036004,118.766302
B0FFGCI4K1,汽车充电站(南京市政府采购中心西北),32.005034,118.730946
B0K3HL85RS,极氪能源超级充电站(南京元枫恒G19极充站),32.038013,118.705124
B0KG0PHU9U,库仑汽车充电站(清凉山体校超充站),32.053097,118.75488
B0J1MLWQY0,蔚来能源超级充电站(南京龙江银城广场),32.054962,118.739
B0J374OVK6,均悦充汽车充电站(南京兴宇大厦),32.040783,118.76618
B0K2H5K86Q,弘电e充汽车充电站(弘电e充·吉安大厦充电站),32.013093,118.761036
B0JUMH2WJW,南京易充汽车充电站(易充网建邺区金马郦城路边站点),32.005856,118.71952
B0FFHGNCVI,BUSTiL汽车充电站(画苑巷),32.05502,118.75379
B0J29H3II2,蔚来能源汽车充电站(南京好邻居黄山路),32.011949,118.710215
B0KRRUSTRP,蔚来能源汽车充电站(南京金陵江滨酒店),32.01179,118.710014
B0KK2UI07B,蔚来能源汽车充电站(南京金陵江滨酒店),32.011795,118.71005
B0JGKHP8G6,小桔充电汽车充电站(奥体大街199号金马郦城),32.0066,118.71624
B0GDV57EEK,特来电汽车充电站(南京兴隆大街充电站),32.006555,118.756118
B0G1YCT0KO,鲸充汽车充电站兴隆大街西城路停车场站,32.006121,118.755594
B0IBAM1A9D,江苏鲸充汽车充电站,32.005359,118.755294
B0H2T5NRNS,柚子充汽车充电站(凤台南路停车场站),32.00673,118.760358
B0FFLFLQ9I,特来电汽车充电站(南京虹悦城充电站),32.009463,118.765131
B0H647JT6T,特斯拉超级充电站(南京虹悦城),32.010061,118.765837
B0KR25GCKY,汽车充电站(润满电赛虹桥充电站21底站),32.006427,118.760956
B0HUMZUWCR,汽车充电站(鲸充雨花台区虹悦城站),32.00855,118.76626
B0H6BAFX9Z,鲸充汽车充电站(虹悦城站),32.007449,118.765203
B0IUNSFBDV,小桔充电汽车充电站(南京市雨花区长虹路),32.00575,118.764128
B0KRKPY2B3,驴充充汽车充电站(锦创中心汽车超级充电站),32.033554,118.8021
B0KKXDNQYN,理想汽车充电站(理想超充站南京秦淮区江苏饭店),32.032322,118.79272
B0J0U6X62E,极氪能源超级充电站(南京江苏饭店极充站),32.032375,118.792755
B0K37MJDO3,汽车充电站(秦淮区大光路街道八宝前街72号院16栋旁),32.02889,118.804679
B0JK27U35R,极氪能源超级充电站(南京中航科技大厦超充站),32.034595,118.80455
B0FFLMEX7C,万马爱充汽车充电站(万马爱充远洋国际站),32.03612,118.792462
B0HGZA26U9,特斯拉超级充电站(南京凯宾斯基酒店),32.034981,118.804991
B0K65UKDO5,小桔充电汽车充电站(鑫玉隆秦淮区斯亚财富中心),32.027388,118.79017
B0KD9PGUS2,汽车充电站(秦淮区三条巷92-1号教师发展中心充电站内部专用-不对外),32.037893,118.801848
B0JUMH10GI,南京易充汽车充电站(易充网秦淮区延龄巷5号布朗妮妮蛋糕店旁路边站点),32.035466,118.789616
B0K3VALWYV,汽车充电站(秦淮区瑞金路158号小区3栋旁充电站内部专用-不对外),32.032917,118.808249
B0KBK9F2U7,南京易充汽车充电站(易充网秦淮区大行宫长发中心商业广场路边站点),32.04009,118.79797
B0GDJR4LRS,南京能瑞汽车充电站(南京金陵中等专业学院),32.024153,118.791653
B0K0JKAJ6P,汽车充电站(瑞金路10号小区充电站内部专用-不对外),32.03153,118.808648
B0JK9HAODC,汽车充电站(秦淮区洪武路297号洪武公寓),32.032353,118.787454
B0KK7KDFD9,中充服汽车充电站(四方能源西安门518号充电服务站),32.038914,118.80551
B0KKKHQHZO,星星充电汽车充电站(扇骨营北路灯杆005号站),32.021702,118.802342
B0K30LZ6TP,极氪能源超级充电站(南京龙蟠汇购物中心极充站),32.021603,118.80217
